time,msl_tpa_corr_filt_dtrd,mei
1993-01-31,-0.5700226425862638,0.18200000000000002
1993-02-28,-0.2872415200444067,0.2
1993-03-31,-0.11389977441488482,0.17
1993-04-30,0.04841217721151114,0.21000000000000002
1993-05-31,0.06731099297683629,0.27999999999999997
1993-06-30,0.1351728402118571,0.22200000000000003
1993-07-31,0.08855669545250482,0.146
1993-08-31,0.021244973284137457,0.11399999999999999
1993-09-30,-0.048274530407704755,0.126
1993-10-31,-0.1210818663784842,0.18600000000000003
1993-11-30,-0.03224279056256707,0.144
1993-12-31,0.013770066167396422,0.054000000000000006
1994-01-31,0.07987260657183537,0.012
1994-02-28,0.09415712079883712,-0.018
1994-03-31,0.17148661316061792,-0.004
1994-04-30,0.18877732118327853,0.038000000000000006
1994-05-31,0.13618171873465829,0.034
1994-06-30,-0.0013342711182451339,0.08000000000000002
1994-07-31,-0.029648821306786033,0.18600000000000003
1994-08-31,-0.0771076521746596,0.17200000000000001
1994-09-30,-0.0207535786565316,0.20600000000000002
1994-10-31,0.010161199542286604,0.30400000000000005
1994-11-30,0.06396106737026681,0.18600000000000003
1994-12-31,0.11492757897806723,0.16000000000000003
1995-01-31,0.19819234492508303,0.15000000000000002
1995-02-28,0.34654170753839947,0.10600000000000001
1995-03-31,0.3715603460678178,0.042
1995-04-30,0.3666597849622056,0.068
1995-05-31,0.3069904659212856,0.07800000000000001
1995-06-30,0.22988889711158417,-0.016
1995-07-31,0.10705784636920387,-0.054000000000000006
1995-08-31,0.060425254394085394,-0.118
1995-09-30,0.07918245223643634,-0.15600000000000003
1995-10-31,0.1252828735786128,-0.11399999999999999
1995-11-30,0.10280785496770335,-0.124
1995-12-31,0.008590062046734025,-0.17
1996-01-31,0.034536653092442825,-0.15600000000000003
1996-02-29,-0.004939377078056495,-0.142
1996-03-31,0.06270278272019673,-0.126
1996-04-30,0.07773415502113323,-0.15600000000000003
1996-05-31,0.098704597681796,-0.18600000000000003
1996-06-30,0.0981986041828126,-0.13999999999999999
1996-07-31,-0.015353446898661893,-0.118
1996-08-31,-0.10983671763673505,-0.1
1996-09-30,-0.10419502442707156,-0.036
1996-10-31,-0.005393924373790604,-0.057999999999999996
1996-11-30,-0.04435583901202467,-0.036
1996-12-31,-0.2042367723395145,-0.09200000000000001
1997-01-31,-0.39634539848416017,-0.166
1997-02-28,-0.36610235655936896,-0.17800000000000002
1997-03-31,-0.3249326005466546,-0.082
1997-04-30,-0.2004766322769914,0.07800000000000001
1997-05-31,-0.11932656509875059,0.22999999999999998
1997-06-30,-0.0044777991157589625,0.47000000000000003
1997-07-31,0.05026982063887875,0.414
1997-08-31,0.18538253397157972,0.454
1997-09-30,0.2623805285714294,0.43200000000000005
1997-10-31,0.22892786888284533,0.386
1997-11-30,0.020782509555426286,0.39
1997-12-31,-0.13352814848114,0.4
1998-01-31,-0.13134796325974793,0.44800000000000006
1998-02-28,-0.019308127034703127,0.48600000000000004
1998-03-31,0.08120585163013949,0.45199999999999996
1998-04-30,0.10020525236263075,0.45
1998-05-31,0.014877246723748705,0.34400000000000003
1998-06-30,-0.10000131916574677,-0.05
1998-07-31,-0.22364461596929902,-0.30600000000000005
1998-08-31,-0.29921129705561356,-0.35800000000000004
1998-09-30,-0.35593513577883706,-0.27799999999999997
1998-10-31,-0.3474646754977332,-0.238
1998-11-30,-0.2922697871622416,-0.254
1998-12-31,-0.26718063535595443,-0.24
1999-01-31,-0.2701076804280952,-0.23399999999999999
1999-02-28,-0.26305487615246503,-0.22200000000000003
1999-03-31,-0.17901045475470187,-0.20800000000000002
1999-04-30,-0.1803571731026036,-0.24
1999-05-31,-0.2666488004886478,-0.284
1999-06-30,-0.35331396007846133,-0.252
1999-07-31,-0.3650130839005863,-0.242
1999-08-31,-0.3304840299729815,-0.22400000000000003
1999-09-30,-0.2711470411432725,-0.23199999999999998
1999-10-31,-0.2354940630377559,-0.266
1999-11-30,-0.05480714329599863,-0.272
1999-12-31,0.020091189561567902,-0.27999999999999997
2000-01-31,0.10473755370901294,-0.244
2000-02-29,0.030956814336517268,-0.248
2000-03-31,-0.0699981395337332,-0.27599999999999997
2000-04-30,-0.19103941934168595,-0.20600000000000002
2000-05-31,-0.2847395748690573,-0.23399999999999999
2000-06-30,-0.24403260946920646,-0.22400000000000003
2000-07-31,-0.2096212148012601,-0.11000000000000001
2000-08-31,-0.23400223829166472,-0.034
2000-09-30,-0.18282076796981386,-0.068
2000-10-31,-0.1033360988378842,-0.1
2000-11-30,0.01241248002564035,-0.15400000000000003
2000-12-31,0.09056660792111196,-0.15000000000000002
2001-01-31,0.08526940929044749,-0.16200000000000003
2001-02-28,0.15128489069810094,-0.164
2001-03-31,0.059542345095626815,-0.15000000000000002
2001-04-30,0.06122113312459092,-0.148
2001-05-31,0.017027536604141247,-0.15600000000000003
2001-06-30,0.09169906867811797,-0.11399999999999999
2001-07-31,0.08079145259927571,-0.004
2001-08-31,0.15035152011804342,0.046000000000000006
2001-09-30,0.07905932294266833,-0.018
2001-10-31,0.1347021169361419,-0.05600000000000001
2001-11-30,0.06050248713034172,-0.072
2001-12-31,0.040140090830563226,-0.014000000000000002
2002-01-31,0.044825347405381064,-0.014000000000000002
2002-02-28,0.07978767711281379,-0.082
2002-03-31,0.051988747326925024,-0.052000000000000005
2002-04-30,-0.016337919038309324,-0.072
2002-05-31,-0.04448225859237383,-0.012
2002-06-30,0.07683966630778656,0.084
2002-07-31,0.20794588846404521,0.07800000000000001
2002-08-31,0.20853960318841908,0.16200000000000003
