,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2008,15.296,4.586,18.261,3.749,15.0887,4.91,19.0179,2.9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,15.136,5.119,19.251,2.705,15.0459,4.8147,19.1112,2.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,15.283,4.615,18.945,2.858,15.0207,4.7382,19.219,3.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,14.667,4.344,18.916,2.339,14.9772,4.6496,19.1798,3.0926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,15.294,3.387,19.47,3.165,14.9596,4.4887,19.0997,3.1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,15.167,5.054,19.556,3.694,14.9237,4.5397,19.0044,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,14.964,5.029,20.156,3.561,14.8406,4.5467,19.0032,2.8866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,14.517,4.433,18.857,3.587,14.8087,4.454,18.9236,2.8621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,14.507,4.165,18.53,2.632,14.7822,4.3743,18.9317,2.8503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,14.406,4.665,18.102,2.11,14.7936,4.4171,18.9241,2.8866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,14.465,4.656,18.249,2.215,14.7517,4.5458,18.796,2.7625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,14.817,4.192,18.455,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,15.018,3.818,19.026,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,14.781,4.772,18.84,2.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,14.875,4.674,18.189,1.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
